Repository Name,Repository URL,Default Branch,Star Count,Description,Update_date
libui,https://github.com/andlabs/libui,master,10552,Simple and portable (but not inflexible) GUI library in C that uses the native GUI technologies of each platform it supports.,2023-11-19T23:46:02Z
lua-nginx-module,https://github.com/openresty/lua-nginx-module,master,10903,Embed the Power of Lua into NGINX HTTP servers,2023-11-22T08:57:52Z
darwin-xnu,https://github.com/apple/darwin-xnu,main,10810,Legacy mirror of Darwin Kernel. Replaced by https://github.com/apple-oss-distributions/xnu,2023-11-21T19:22:53Z
OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,master,12233,OpenCore bootloader,2023-11-22T07:12:01Z
systemd,https://github.com/systemd/systemd,main,11756,The systemd System and Service Manager ,2023-11-22T08:07:36Z
h2o,https://github.com/h2o/h2o,master,10562,"H2O - the optimized HTTP/1, HTTP/2, HTTP/3 server",2023-11-22T07:27:50Z
seafile,https://github.com/haiwen/seafile,master,11141,"High performance file syncing and sharing, with also Markdown WYSIWYG editing, Wiki, file label and other knowledge management features.",2023-11-22T08:39:42Z
rofi,https://github.com/davatorium/rofi,next,11778,"Rofi: A window switcher, application launcher and dmenu replacement",2023-11-22T03:48:08Z
glfw,https://github.com/glfw/glfw,master,11415,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input",2023-11-22T08:36:29Z
vlc,https://github.com/videolan/vlc,master,11992,"VLC media player - All pull requests are ignored, please follow https://wiki.videolan.org/Sending_Patches_VLC/",2023-11-22T08:27:27Z
WindTerm,https://github.com/kingToolbox/WindTerm,master,17548,A professional cross-platform SSH/Sftp/Shell/Telnet/Serial terminal.,2023-11-22T09:13:41Z
BlackHole,https://github.com/ExistentialAudio/BlackHole,master,12315,BlackHole is a modern macOS audio loopback driver that allows applications to pass audio to other applications with zero additional latency.,2023-11-22T10:02:47Z
wcdb,https://github.com/Tencent/wcdb,master,9835,WCDB is a cross-platform database framework developed by WeChat.,2023-11-21T16:28:07Z
arduino-esp32,https://github.com/espressif/arduino-esp32,master,11621,Arduino core for the ESP32,2023-11-22T07:41:09Z
phpredis,https://github.com/phpredis/phpredis,develop,9788,A PHP extension for Redis,2023-11-18T20:43:53Z
Craft,https://github.com/fogleman/Craft,master,10012,A simple Minecraft clone written in C using modern OpenGL (shaders).,2023-11-22T08:44:20Z
cosmopolitan,https://github.com/jart/cosmopolitan,master,12640,build-once run-anywhere c library,2023-11-22T10:43:16Z
SoftEtherVPN,https://github.com/SoftEtherVPN/SoftEtherVPN,master,10620,Cross-platform multi-protocol VPN software. Pull requests are welcome. The stable version is available at https://github.com/SoftEtherVPN/SoftEtherVPN_Stable.,2023-11-22T09:04:07Z
linux,https://github.com/raspberrypi/linux,rpi-6.1.y,10211,Kernel source tree for Raspberry Pi-provided kernel builds. Issues unrelated to the linux kernel should be posted on the community forum at https://forums.raspberrypi.com/,2023-11-22T07:12:38Z
esp-idf,https://github.com/espressif/esp-idf,master,11544,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,2023-11-22T08:08:52Z
darling,https://github.com/darlinghq/darling,master,10217,Darwin/macOS emulation layer for Linux,2023-11-22T10:15:18Z
libevent,https://github.com/libevent/libevent,master,10325,Event notification library,2023-11-22T08:35:39Z
DOOM,https://github.com/id-Software/DOOM,master,11309,DOOM Open Source Release,2023-11-22T09:03:52Z
redis-3.0-annotated,https://github.com/huangz1990/redis-3.0-annotated,unstable,9719,带有详细注释的 Redis 3.0 代码（annotated Redis 3.0 source code）。,2023-11-22T07:37:58Z
Tinyhttpd,https://github.com/EZLippi/Tinyhttpd,master,10597,Tinyhttpd 是J. David Blackstone在1999年写的一个不到 500 行的超轻量型 Http Server，用来学习非常不错，可以帮助我们真正理解服务器程序的本质。官网:http://tinyhttpd.sourceforge.net,2023-11-22T08:29:06Z
